id,name,gender,award_year,category,birth_date,age_at_award
745,A. Michael Spence,male,2001,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1943-00-00,58
102,Aage Niels Bohr,male,1975,The Nobel Prize in Physics,1922-06-19,53
779,Aaron Ciechanover,male,2004,The Nobel Prize in Chemistry,1947-10-01,57
259,Aaron Klug,male,1982,The Nobel Prize in Chemistry,1926-08-11,56
1004,Abdulrazak Gurnah,male,2021,The Nobel Prize in Literature,1948-00-00,73
114,Abdus Salam,male,1979,The Nobel Prize in Physics,1926-01-29,53
982,Abhijit Banerjee,male,2019,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1961-02-21,58
981,Abiy Ahmed Ali,male,2019,The Nobel Peace Prize,1976-08-15,43
843,Ada E. Yonath,female,2009,The Nobel Prize in Chemistry,1939-06-22,70
866,Adam G. Riess,male,2011,The Nobel Prize in Physics,1969-12-16,42
199,Adolf Friedrich Johann Butenandt,male,1939,The Nobel Prize in Chemistry,1903-03-24,36
164,Johann Friedrich Wilhelm Adolf von Baeyer,male,1905,The Nobel Prize in Chemistry,1835-10-31,70
185,Adolf Otto Reinhold Windaus,male,1928,The Nobel Prize in Chemistry,1876-12-25,52
541,Adolfo Pérez Esquivel,male,1980,The Nobel Peace Prize,1931-11-26,49
292,Ahmed H. Zewail,male,1999,The Nobel Prize in Chemistry,1946-02-26,53
853,Akira Suzuki,male,2010,The Nobel Prize in Chemistry,1930-09-12,80
978,Akira Yoshino,male,2019,The Nobel Prize in Chemistry,1948-01-30,71
819,Albert Arnold (Al) Gore  Jr.,male,2007,The Nobel Peace Prize,1948-03-31,59
1012,Alain Aspect,male,2022,The Nobel Prize in Physics,1947-06-15,75
729,Alan J. Heeger,male,2000,The Nobel Prize in Chemistry,1936-01-22,64
376,Alan Lloyd Hodgkin,male,1963,The Nobel Prize in Physiology or Medicine,1914-02-05,49
730,Alan G. MacDiarmid,male,2000,The Nobel Prize in Chemistry,1927-04-14,73
11,Albert Abraham Michelson,male,1907,The Nobel Prize in Physics,1852-12-19,55
628,Albert Camus,male,1957,The Nobel Prize in Literature,1913-11-07,44
403,Albert Claude,male,1974,The Nobel Prize in Physiology or Medicine,1898-08-24,76
26,Albert Einstein,male,1921,The Nobel Prize in Physics,1879-03-14,42
814,Albert Fert,male,2007,The Nobel Prize in Physics,1938-03-07,69
465,Charles Albert Gobat,male,1902,The Nobel Peace Prize,1843-05-21,59
519,Albert John Lutuli,male,1960,The Nobel Peace Prize,1898-00-00,62
513,Albert Schweitzer,male,1952,The Nobel Peace Prize,1875-01-14,77
332,Albert von Szent-Györgyi Nagyrápolt,male,1937,The Nobel Prize in Physiology or Medicine,1893-09-16,44
304,Albrecht Kossel,male,1910,The Nobel Prize in Physiology or Medicine,1853-09-16,57
83,Aleksandr Mikhailovich Prokhorov,male,1964,The Nobel Prize in Physics,1916-07-11,48
644,Aleksandr Isayevich Solzhenitsyn,male,1970,The Nobel Prize in Literature,1918-12-11,52
1031,Aleksey Yekimov ,male,2023,The Nobel Prize in Chemistry,1945-00-00,78
1018,Ales Bialiatski ,male,2022,The Nobel Peace Prize,1962-09-25,60
766,Alexei Alexeyevich Abrikosov,male,2003,The Nobel Prize in Physics,1928-06-25,75
306,Alexis Carrel,male,1912,The Nobel Prize in Physiology or Medicine,1873-06-28,39
544,Alfonso García Robles,male,1982,The Nobel Peace Prize,1911-03-20,71
392,Alfred D. Hershey,male,1969,The Nobel Prize in Physiology or Medicine,1908-12-04,61
479,Alfred Hermann Fried,male,1911,The Nobel Peace Prize,1864-11-11,47
450,Alfred G. Gilman,male,1994,The Nobel Prize in Physiology or Medicine,1941-07-01,53
87,Alfred Kastler,male,1966,The Nobel Prize in Physics,1902-05-03,64
174,Alfred Werner,male,1913,The Nobel Prize in Chemistry,1866-12-12,47
892,Alice Munro,female,2013,The Nobel Prize in Literature,1931-07-10,82
417,Allan M. Cormack,male,1979,The Nobel Prize in Physiology or Medicine,1924-02-23,55
305,Allvar Gullstrand,male,1911,The Nobel Prize in Physiology or Medicine,1862-06-05,49
300,Charles Louis Alphonse Laveran,male,1907,The Nobel Prize in Physiology or Medicine,1845-06-18,62
543,Alva Myrdal,female,1982,The Nobel Peace Prize,1902-01-31,80
882,Alvin E. Roth,male,2012,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1951-12-18,61
