id,name,gender,birth_country,total_country_wins,award_year,category,age_at_award
745,A. Michael Spence,male,USA,298,2001,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,58
102,Aage Niels Bohr,male,Denmark,12,1975,The Nobel Prize in Physics,53
779,Aaron Ciechanover,male,British Protectorate of Palestine,1,2004,The Nobel Prize in Chemistry,57
259,Aaron Klug,male,Lithuania,1,1982,The Nobel Prize in Chemistry,56
1004,Abdulrazak Gurnah,male,NA,NA,2021,The Nobel Prize in Literature,73
114,Abdus Salam,male,India,10,1979,The Nobel Prize in Physics,53
982,Abhijit Banerjee,male,India,10,2019,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,58
981,Abiy Ahmed Ali,male,Ethiopia,1,2019,The Nobel Peace Prize,43
843,Ada E. Yonath,female,British Mandate of Palestine,4,2009,The Nobel Prize in Chemistry,70
866,Adam G. Riess,male,USA,298,2011,The Nobel Prize in Physics,42
199,Adolf Friedrich Johann Butenandt,male,Germany,78,1939,The Nobel Prize in Chemistry,36
164,Johann Friedrich Wilhelm Adolf von Baeyer,male,Prussia,13,1905,The Nobel Prize in Chemistry,70
185,Adolf Otto Reinhold Windaus,male,Germany,78,1928,The Nobel Prize in Chemistry,52
541,Adolfo Pérez Esquivel,male,Argentina,4,1980,The Nobel Peace Prize,49
292,Ahmed H. Zewail,male,Egypt,5,1999,The Nobel Prize in Chemistry,53
853,Akira Suzuki,male,Japan,27,2010,The Nobel Prize in Chemistry,80
978,Akira Yoshino,male,Japan,27,2019,The Nobel Prize in Chemistry,71
819,Albert Arnold (Al) Gore  Jr.,male,USA,298,2007,The Nobel Peace Prize,59
1012,Alain Aspect,male,France,60,2022,The Nobel Prize in Physics,75
729,Alan J. Heeger,male,USA,298,2000,The Nobel Prize in Chemistry,64
376,Alan Lloyd Hodgkin,male,United Kingdom,94,1963,The Nobel Prize in Physiology or Medicine,49
730,Alan G. MacDiarmid,male,New Zealand,3,2000,The Nobel Prize in Chemistry,73
11,Albert Abraham Michelson,male,Prussia,13,1907,The Nobel Prize in Physics,55
628,Albert Camus,male,French Algeria,2,1957,The Nobel Prize in Literature,44
403,Albert Claude,male,Belgium,8,1974,The Nobel Prize in Physiology or Medicine,76
26,Albert Einstein,male,Germany,78,1921,The Nobel Prize in Physics,42
814,Albert Fert,male,France,60,2007,The Nobel Prize in Physics,69
465,Charles Albert Gobat,male,Switzerland,19,1902,The Nobel Peace Prize,59
519,Albert John Lutuli,male,Southern Rhodesia,1,1960,The Nobel Peace Prize,62
513,Albert Schweitzer,male,Germany,78,1952,The Nobel Peace Prize,77
332,Albert von Szent-Györgyi Nagyrápolt,male,Austria-Hungary,13,1937,The Nobel Prize in Physiology or Medicine,44
304,Albrecht Kossel,male,Mecklenburg,1,1910,The Nobel Prize in Physiology or Medicine,57
83,Aleksandr Mikhailovich Prokhorov,male,Australia,10,1964,The Nobel Prize in Physics,48
