id,name,birth_country,total_country_wins,award_year,category,age_at_award
745,A. Michael Spence,USA,7,2001,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,58
102,Aage Niels Bohr,Denmark,1,1975,The Nobel Prize in Physics,53
779,Aaron Ciechanover,British Protectorate of Palestine,1,2004,The Nobel Prize in Chemistry,57
259,Aaron Klug,Lithuania,1,1982,The Nobel Prize in Chemistry,56
1004,Abdulrazak Gurnah,NA,NA,2021,The Nobel Prize in Literature,73
114,Abdus Salam,India,2,1979,The Nobel Prize in Physics,53
982,Abhijit Banerjee,India,2,2019,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,58
981,Abiy Ahmed Ali,Ethiopia,1,2019,The Nobel Peace Prize,43
843,Ada E. Yonath,British Mandate of Palestine,1,2009,The Nobel Prize in Chemistry,70
866,Adam G. Riess,USA,7,2011,The Nobel Prize in Physics,42
199,Adolf Friedrich Johann Butenandt,Germany,5,1939,The Nobel Prize in Chemistry,36
164,Johann Friedrich Wilhelm Adolf von Baeyer,Prussia,2,1905,The Nobel Prize in Chemistry,70
185,Adolf Otto Reinhold Windaus,Germany,5,1928,The Nobel Prize in Chemistry,52
541,Adolfo Pérez Esquivel,Argentina,1,1980,The Nobel Peace Prize,49
292,Ahmed H. Zewail,Egypt,1,1999,The Nobel Prize in Chemistry,53
853,Akira Suzuki,Japan,2,2010,The Nobel Prize in Chemistry,80
978,Akira Yoshino,Japan,2,2019,The Nobel Prize in Chemistry,71
819,Albert Arnold (Al) Gore  Jr.,USA,7,2007,The Nobel Peace Prize,59
1012,Alain Aspect,France,5,2022,The Nobel Prize in Physics,75
729,Alan J. Heeger,USA,7,2000,The Nobel Prize in Chemistry,64
376,Alan Lloyd Hodgkin,United Kingdom,1,1963,The Nobel Prize in Physiology or Medicine,49
730,Alan G. MacDiarmid,New Zealand,1,2000,The Nobel Prize in Chemistry,73
11,Albert Abraham Michelson,Prussia,2,1907,The Nobel Prize in Physics,55
628,Albert Camus,French Algeria,1,1957,The Nobel Prize in Literature,44
403,Albert Claude,Belgium,1,1974,The Nobel Prize in Physiology or Medicine,76
26,Albert Einstein,Germany,5,1921,The Nobel Prize in Physics,42
814,Albert Fert,France,5,2007,The Nobel Prize in Physics,69
465,Charles Albert Gobat,Switzerland,1,1902,The Nobel Peace Prize,59
519,Albert John Lutuli,Southern Rhodesia,1,1960,The Nobel Peace Prize,62
513,Albert Schweitzer,Germany,5,1952,The Nobel Peace Prize,77
332,Albert von Szent-Györgyi Nagyrápolt,Austria-Hungary,1,1937,The Nobel Prize in Physiology or Medicine,44
304,Albrecht Kossel,Mecklenburg,1,1910,The Nobel Prize in Physiology or Medicine,57
83,Aleksandr Mikhailovich Prokhorov,Australia,1,1964,The Nobel Prize in Physics,48
644,Aleksandr Isayevich Solzhenitsyn,Russia,2,1970,The Nobel Prize in Literature,52
1031,Aleksey Yekimov ,USSR,2,2023,The Nobel Prize in Chemistry,78
1018,Ales Bialiatski ,Russia,2,2022,The Nobel Peace Prize,60
766,Alexei Alexeyevich Abrikosov,USSR,2,2003,The Nobel Prize in Physics,75
306,Alexis Carrel,France,5,1912,The Nobel Prize in Physiology or Medicine,39
544,Alfonso García Robles,Mexico,1,1982,The Nobel Peace Prize,71
392,Alfred D. Hershey,USA,7,1969,The Nobel Prize in Physiology or Medicine,61
479,Alfred Hermann Fried,Austria,1,1911,The Nobel Peace Prize,47
450,Alfred G. Gilman,USA,7,1994,The Nobel Prize in Physiology or Medicine,53
87,Alfred Kastler,Germany,5,1966,The Nobel Prize in Physics,64
174,Alfred Werner,France,5,1913,The Nobel Prize in Chemistry,47
892,Alice Munro,Canada,1,2013,The Nobel Prize in Literature,82
417,Allan M. Cormack,South Africa,1,1979,The Nobel Prize in Physiology or Medicine,55
305,Allvar Gullstrand,Sweden,2,1911,The Nobel Prize in Physiology or Medicine,49
300,Charles Louis Alphonse Laveran,France,5,1907,The Nobel Prize in Physiology or Medicine,62
543,Alva Myrdal,Sweden,2,1982,The Nobel Peace Prize,80
882,Alvin E. Roth,USA,7,2012,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,61
